mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,Eminor_count,EMajor_count,FMajor_count,F#/Gbminor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/BbMajor_count,BMajor_count,Fminor_count,F#/GbMajor_count,A#/Bbminor_count,Bminor_count
ENFJ,NF,Enfj 😇,4AE4DBt4YjJJ8v4Hk9myWl,41,0.5805121951219512,0.1243248008144834,0.5957317073170731,0.222704290976874,-7.736634146341463,2.529298348911192,0.6585365853658537,0.480091454702173,0.0769317073170731,0.097605815500472,0.2881143902439024,0.3105604940490562,0.1532365853658536,0.1458325611036464,0.4202951219512195,0.22860732047686,122.54070731707318,30.152955374427144,0.0256980085365853,0.0971465941219782,1.0,6.0,1.0,1.0,1.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
ENFJ,NF,enfj // the protagonist ,6th4JW4Dky7UjeEhHuQeQd,38,0.5509473684210526,0.1567530244319493,0.6790184210526315,0.1933952455538784,-7.649368421052631,4.25354525848766,0.7368421052631579,0.4462583499902143,0.05945,0.0497801965943584,0.2317535789473684,0.2964248921760817,0.1758842105263157,0.1074926409204955,0.506328947368421,0.2683237787086408,124.51944736842104,30.787009642711297,0.1102201142105263,0.2353209338391465,2.0,5.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,4.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,6.0,3.0,1.0,2.0,1.0,0.0,0.0
ENFJ,NF,enfj songs according to personality database,4g2AYw35pR37u2QpwpSryq,50,0.56468,0.1168142498995385,0.6076399999999998,0.2047990314071483,-7.757679999999999,3.2613242861745344,0.66,0.4785181206984066,0.059076,0.0528579017706135,0.27037828,0.3160420051745924,0.136674,0.0892096014096771,0.433126,0.2093281915060264,123.76112,26.073063288586024,0.0601102266,0.1647285556832293,2.0,3.0,1.0,2.0,2.0,6.0,0.0,0.0,2.0,3.0,3.0,0.0,2.0,5.0,0.0,1.0,2.0,6.0,2.0,1.0,2.0,1.0,1.0,3.0
ENFJ,NF,ENFJ vibes‼️,1eVgLeDoHD123LB6VldjGY,50,0.5352,0.1225855802686267,0.59896,0.1774148786986973,-7.005940000000001,2.626759223213025,0.56,0.5014265364224069,0.058274,0.0496970898421176,0.22802602,0.2618265359608236,0.160472,0.098221648638294,0.3763399999999999,0.2208879972903434,132.29301999999998,30.34884956262925,0.0240676248,0.1145907858135306,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,2.0,3.0,6.0,1.0,4.0,6.0,2.0,4.0,2.0,0.0,2.0,2.0,3.0
ENFJ,NF,[ENFJ],49BWXniDb2gtfI1e4Z3ILr,50,0.5267000000000001,0.1238015610992537,0.8089400000000001,0.1036570896991515,-5.1835,1.596796950147388,0.7,0.4629100498862756,0.053892,0.0310470139876771,0.0308160159999999,0.0511254237111541,0.182778,0.1522916566650843,0.51256,0.2231403109421221,130.17276,22.31729848379266,0.0672902202,0.1892923826152609,0.0,5.0,2.0,2.0,0.0,4.0,0.0,2.0,1.0,1.0,4.0,4.0,1.0,3.0,0.0,6.0,0.0,2.0,5.0,1.0,0.0,0.0,1.0,6.0
ENFJ,NF,ENFJ anthems 🦋,6IDELtu3l7994CPmsyhlUN,50,0.5864,0.1648214866119693,0.6639999999999999,0.178840597135196,-6.811559999999999,3.014653248818551,0.68,0.4712120714991611,0.0656539999999999,0.0642218228851679,0.19485078,0.2698983059242635,0.199958,0.1070556618335165,0.545338,0.2517112168533534,128.26845999999998,31.117025360961065,0.1128341906,0.2538200808614568,1.0,6.0,0.0,2.0,0.0,4.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,9.0,1.0,1.0,2.0,0.0,1.0,1.0
ENFJ,NF,ENFJ main character moment,3U8PZDhXaOVdeqXp9xfjIs,50,0.64346,0.1458576619551417,0.5783,0.1610941225697902,-6.936099999999999,2.440345327269592,0.54,0.5034574339058886,0.096928,0.1016386517351081,0.244883,0.2705284476893025,0.149292,0.095607118768341,0.517898,0.2380895085415378,129.47698,32.62726249093927,0.0052927697999999,0.0191268210619937,2.0,6.0,1.0,4.0,0.0,2.0,1.0,0.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0
ENFJ,NF,ENFJ (PDB),7yXX8iWVhHPeZ6CPXkdvRg,50,0.59738,0.1100214988267367,0.6571000000000001,0.1521337019378222,-6.05944,2.052748880334437,0.72,0.4535573676110727,0.068928,0.0676950425942456,0.20832676,0.2658197334530363,0.148704,0.0886853367996384,0.496994,0.213357900338222,123.99769999999998,28.02720439891156,0.0197683692,0.0831894904830649,0.0,3.0,4.0,4.0,1.0,4.0,0.0,2.0,1.0,3.0,5.0,0.0,2.0,4.0,0.0,6.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0
ENFJ,NF,enfj,237uKEMCwMaeqdHTaVdNAH,22,0.5728636363636364,0.1175221541240489,0.5833636363636363,0.1429820319895527,-7.249772727272727,1.7986738747733586,0.8181818181818182,0.3947710169758613,0.0532818181818181,0.0322441081567239,0.2856977272727272,0.2352131113111766,0.1540727272727273,0.1161180031233341,0.3967636363636364,0.1553391207141408,119.82509090909092,24.04401670925953,0.0484369131818181,0.172721921306406,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,5.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0
ENFJ,NF,for the enfj,6IYbjtqjOOVeq9hjyll0R2,40,0.6644,0.139310352662587,0.65425,0.1409851328768664,-6.693425,1.7115247196653751,0.725,0.4522025867763024,0.07563,0.0619102667431269,0.1685601,0.1703467383968688,0.22907,0.1684559399139955,0.60975,0.2027177841236431,115.72855,28.020447539343984,0.03050349225,0.1520359809439742,0.0,4.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,4.0,1.0,1.0,3.0,0.0,4.0,2.0,5.0,0.0,2.0,2.0,0.0,1.0,2.0
