mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,GMajor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,Bminor_count,BMajor_count,D#_Ebminor_count,Gminor_count,G#/Abminor_count,A#/BbMajor_count
ENFP,NF,enfp 😍,5J3tDgBRt4BkebL1N9ykZU,50,0.5863200000000001,0.14576363870097,0.61646,0.1931192092454602,-7.43508,3.0212001523924767,0.6,0.4948716593053936,0.0730199999999999,0.0800012703980763,0.25526,0.27464121150538,0.18211,0.1219707396326291,0.495926,0.2067881206965828,117.58624,27.944117916021074,0.0640488804,0.1805803972036008,3.0,4.0,3.0,2.0,1.0,5.0,2.0,2.0,2.0,2.0,6.0,5.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
ENFP,NF,enfp vibes!!!,25b2GhcsggUdKaSiUH3jiC,50,0.5819,0.1531300967498298,0.7206199999999999,0.1506600295028377,-6.24298,2.3615344154829088,0.72,0.4535573676110727,0.056998,0.0545095142041782,0.189903592,0.2140671170510779,0.19865,0.1361489059516701,0.562512,0.1943535308531904,129.12242,29.691987853586884,0.0567225618,0.1720542638159609,1.0,5.0,1.0,7.0,0.0,1.0,1.0,2.0,3.0,0.0,2.0,3.0,1.0,1.0,3.0,1.0,9.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0
ENFP,NF,This Is Enphamus,37i9dQZF1DZ06evO17ef7O,28,0.8202499999999998,0.0885875273387851,0.5093571428571428,0.1198042274298069,-9.723321428571428,2.2851009873716244,0.75,0.4409585518440984,0.4186142857142857,0.1409943096153718,0.1279043214285714,0.164224001084574,0.1368142857142857,0.1018373784040596,0.4566428571428571,0.198318153347317,135.7489285714286,28.444258856940444,2.408678571428572e-05,7.829129510543118e-05,0.0,1.0,0.0,9.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
ENFP,NF,ENFP songs,7rcEnzK6DANSoBhf7GMwSi,50,0.6445799999999999,0.1324234226152717,0.67822,0.157999133296512,-6.0377600000000005,2.1113194013919063,0.44,0.5014265364224069,0.069694,0.0469411851280353,0.16768651,0.1993660678558693,0.19277,0.1468663758214887,0.5511940000000001,0.2160807770445193,120.46232,30.39929968744916,0.003086732,0.0139103069008892,1.0,5.0,0.0,3.0,1.0,3.0,0.0,3.0,3.0,2.0,0.0,7.0,0.0,3.0,2.0,0.0,1.0,4.0,6.0,1.0,1.0,2.0,1.0,1.0
ENFP,NF,This Is Enfabeats,37i9dQZF1DZ06evO3uf5g4,50,0.73066,0.1290531625939876,0.7348600000000001,0.1621046537749925,-5.021780000000001,2.163623248825253,0.52,0.5046720495044485,0.146378,0.1904053434445706,0.0839131502,0.2094712373740859,0.175508,0.1634763776731759,0.7518199999999999,0.1816357298753385,114.71498,38.15305325438902,0.670099,0.321084433350164,2.0,1.0,0.0,6.0,1.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,6.0,0.0,6.0,3.0,2.0,5.0,3.0,1.0,1.0,2.0,1.0
ENFP,NF,ENFP // the campaigner,2x8KG8G46YaQFBflfLWtnD,50,0.6647600000000001,0.1496630992105473,0.70868,0.1695646815362497,-6.236180000000001,2.130732658222595,0.72,0.4535573676110728,0.084624,0.0878133004662477,0.20775832,0.2205829193609829,0.204228,0.1617706288015755,0.6838799999999999,0.2102837383447538,128.82076,25.99470945275329,0.0503030112,0.1630668526689657,2.0,6.0,1.0,5.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,6.0,3.0,2.0,7.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0
ENFP,NF,Pov: You're an ENFP ,758jPdwPa3EdtXgrpx5URY,50,0.60476,0.1293286526960026,0.7093400000000001,0.1686218580742371,-5.6303600000000005,2.709489685817428,0.64,0.4848732213850611,0.071888,0.0721062669302207,0.217800678,0.2478753561726516,0.1804319999999999,0.1601309801126463,0.55316,0.2014939468377273,124.30666,29.57108622480233,0.0126968262,0.0799741317254139,1.0,6.0,1.0,3.0,0.0,2.0,1.0,2.0,1.0,1.0,5.0,3.0,2.0,2.0,4.0,1.0,3.0,1.0,4.0,0.0,2.0,1.0,1.0,3.0
ENFP,NF,for the enfp,7sQvAGeF4ZRWjO9CzVkno4,50,0.56768,0.125320884459186,0.6302599999999999,0.1866672046882431,-7.53554,2.6048312429963283,0.8,0.4040610178208844,0.046244,0.0167065935901893,0.3056089999999999,0.2984127945993808,0.1748999999999999,0.1354411085215675,0.4992399999999999,0.2203366218738399,123.03854,24.38508901550876,0.1220151137999999,0.2555501655860668,1.0,4.0,2.0,2.0,1.0,8.0,1.0,3.0,4.0,0.0,3.0,0.0,0.0,5.0,0.0,2.0,3.0,0.0,1.0,6.0,0.0,0.0,0.0,4.0
ENFP,NF,Enfp and Entp songs because their chaotic.,7GBXbU8o60Lu6OYlhOq7K4,50,0.5740999999999999,0.1566525141964904,0.6508799999999999,0.2072510692717548,-8.004159999999999,3.316678873419577,0.62,0.4903143514780145,0.085052,0.095525391944354,0.2172796079999999,0.26827456437339,0.197424,0.1675601671529559,0.54564,0.2088099184445421,126.9598,30.93499777248536,0.0750925796,0.197409729890316,0.0,6.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,5.0,2.0,3.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0
ENFP,NF,ENFP x INTJ Playlist,3w7ZOeuhRkHqZiz2nQD8T2,22,0.5270454545454545,0.1503340652308424,0.6575000000000001,0.1832299492051293,-6.376454545454544,3.0613315298952406,0.6818181818181818,0.4767312946227962,0.0417863636363636,0.0193713164352064,0.2226862909090909,0.2952609963582582,0.1802818181818181,0.113772252188156,0.4488636363636363,0.2239288355183926,131.59377272727272,30.51314579454601,0.0935148636363636,0.2417272739058441,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
