mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,BMajor_count,F#/GbMajor_count,D#_Ebminor_count,Dminor_count
ENTP,NT,Entp 😏,4ScfRJB3qcMUKdJ5mOZUB0,50,0.5948,0.1717102447824977,0.6542439999999999,0.1908283694735098,-7.28182,3.106315638258577,0.46,0.5034574339058886,0.08305,0.0795809695485404,0.1891013999999999,0.2225603589590922,0.164654,0.11985207074233,0.5235,0.209706232815414,124.98304,31.77578214324069,0.0195189209999999,0.070477862866119,1.0,3.0,5.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,4.0,4.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0
ENTP,NT,ENTP SONGS💜☯️,5wMUaaj4NELblAqovcEaW0,50,0.6274200000000001,0.1691281472850738,0.70638,0.1451324363525695,-5.55622,2.391363024276647,0.52,0.5046720495044484,0.080818,0.0801737085766822,0.12893164,0.1919398399684991,0.175704,0.1314573803208337,0.5320579999999999,0.2148115092971757,122.73362000000002,32.77634525696349,0.0698752112,0.2145793846451469,1.0,2.0,1.0,6.0,2.0,2.0,8.0,4.0,5.0,2.0,0.0,1.0,4.0,2.0,1.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
ENTP,NT,This Is EnteTainment,37i9dQZF1DZ06evO1rhreF,47,0.5882978723404255,0.0961882020456041,0.8052978723404256,0.0911126667311023,-5.985319148936171,1.1824057294233536,0.6170212765957447,0.4913686072930561,0.3879361702127659,0.098163661977536,0.1863425531914893,0.1395740566161778,0.1748340425531915,0.1210684324572277,0.4563404255319149,0.1940375665774368,106.93382978723402,31.13433524493996,0.0003619082978723,0.0024796744498073,1.0,4.0,1.0,5.0,7.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0
ENTP,NT,ENTP playlist,5Ic6h1cZIT0MIe8qmyxhC1,50,0.63456,0.1470206371741805,0.7177999999999999,0.1684824220226319,-5.658859999999999,2.1904076501595657,0.44,0.5014265364224069,0.097606,0.0833573458437974,0.15279308,0.2288428563270259,0.2301419999999999,0.1494813033015657,0.6266200000000001,0.2080858231497724,124.12734,29.62491085708452,0.0333209217999999,0.1295471708092633,0.0,2.0,3.0,3.0,3.0,1.0,5.0,3.0,4.0,1.0,2.0,0.0,3.0,0.0,3.0,4.0,2.0,0.0,1.0,8.0,0.0,0.0,1.0,1.0
ENTP,NT,This Is ENTRO//,37i9dQZF1DZ06evO0UiWBO,50,0.60052,0.1490028406796738,0.51326,0.137843568539686,-10.72818,2.350138872926623,0.42,0.4985693819032897,0.12863,0.0998881399877086,0.30393662,0.2560694951220006,0.1805679999999999,0.1092961515837607,0.4613999999999999,0.1572789021490946,109.30188,30.77080685248037,0.5498394454000001,0.3830573525212847,0.0,0.0,4.0,7.0,2.0,0.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,6.0,1.0,2.0,1.0,2.0,0.0,6.0,2.0,3.0,1.0,0.0
ENTP,NT,entp with them god complex,6yVzPCP7p5eslAiGcUkx0Q,50,0.6184000000000001,0.1177004152715785,0.7387599999999999,0.1454588180726835,-5.922000000000001,2.6103796971447104,0.46,0.5034574339058886,0.073938,0.0564408156336153,0.129059768,0.1872279557012541,0.208106,0.1531008916515178,0.5876020000000001,0.2108652093791923,120.80742000000002,28.840467228581048,0.0164172942,0.0537458102279791,1.0,0.0,2.0,1.0,1.0,3.0,5.0,3.0,4.0,1.0,1.0,0.0,5.0,1.0,1.0,5.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0
ENTP,NT,This Is Entrópica,37i9dQZF1DZ06evO1yU8j7,45,0.6958,0.1047346430487327,0.6292,0.1700498055383668,-9.23611111111111,3.6619729792845415,0.5111111111111111,0.5055250296034369,0.07934,0.0741379439104749,0.1685978666666666,0.1997494108701745,0.1614866666666666,0.1420968789242043,0.596351111111111,0.2512385905344507,120.68271111111112,24.144714714915285,0.32993482,0.3327461183148317,1.0,10.0,1.0,4.0,4.0,0.0,6.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0
ENTP,NT,ENTP Vibes✨,0uC6hdh6IzY82HDdB9LahJ,50,0.62634,0.1093999608252737,0.71138,0.161790351872983,-6.056300000000001,2.4674035369768186,0.52,0.5046720495044485,0.0688019999999999,0.0729529579767059,0.14823594,0.195787315368673,0.173194,0.121020462783138,0.59118,0.2211238170097911,121.34684,27.80289371546547,0.0369964675999999,0.115410780058261,1.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,1.0,3.0,0.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,0.0,4.0
ENTP,NT,This Is Entropia,37i9dQZF1DZ06evO1OtrVW,50,0.440538,0.2002818084905488,0.683392,0.2490623426914208,-10.4011,4.674756281980738,0.58,0.4985693819032897,0.094572,0.106029091194784,0.2483166339999999,0.3024572143741723,0.251838,0.2020305744592301,0.18229,0.1560965520805266,117.57357999999998,29.62817605610977,0.486780064,0.3463939910669358,2.0,4.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,2.0,1.0,1.0,5.0,0.0,6.0,1.0,2.0,0.0,3.0
ENTP,NT,ENTP ,1UYKbtPkOMYZV1t2OUqjTF,50,0.6975,0.1589059855540311,0.69708,0.1636105180990912,-5.68806,2.41983007845002,0.5,0.5050762722761054,0.093258,0.0816288441667527,0.1314649799999999,0.1558448735082277,0.16866,0.119148990934948,0.590462,0.2384278326531394,114.15946,21.23161812323828,0.0211670648,0.0499802899837191,3.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,6.0,2.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,2.0,2.0,0.0,0.0
