mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,Bminor_count,BMajor_count,Cminor_count,F#/GbMajor_count,Gminor_count,A#/Bbminor_count,A#/BbMajor_count,D#_Ebminor_count
ESTP,SP,ESTP PLAYLIST,65r8dT97EcHxBl2pW0jhzx,50,0.6649200000000001,0.1287224256186266,0.7001999999999999,0.1507454943991118,-5.622120000000001,2.1904058019332533,0.6,0.4948716593053936,0.114472,0.0927350252832537,0.1246879579999999,0.1786194631882643,0.21152,0.1643469525617269,0.51926,0.2126445544344182,127.7013,26.070372959647163,0.0392953398,0.1341965557658342,4.0,3.0,6.0,1.0,2.0,1.0,5.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
ESTP,SP,This Is EST Gee,37i9dQZF1DZ06evO2JD1f2,50,0.7399,0.1141229644743255,0.61672,0.1078704892404757,-6.931959999999999,1.4713836187308145,0.58,0.4985693819032897,0.254786,0.1098763925360434,0.06732542,0.0765376373419066,0.197816,0.106852282853575,0.451016,0.206582050072713,124.97822000000002,34.68032391469496,9.146e-07,4.244360104170891e-06,2.0,3.0,9.0,0.0,8.0,0.0,3.0,0.0,4.0,0.0,3.0,1.0,3.0,4.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
ESTP,SP,estp/istp side character cooler than the main character,2XsGxxSkPKNPH4xxsahOVp,50,0.64708,0.1403256911325817,0.668442,0.181325574915309,-7.294340000000001,3.124781426543858,0.6,0.4948716593053935,0.110178,0.0922490623590421,0.1055786456,0.1448430081897989,0.229868,0.1855125293529759,0.42847,0.2629350422225448,128.92116,27.796110532759577,0.1316819362,0.2620581566417499,0.0,1.0,7.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,4.0,7.0,2.0,1.0,3.0,1.0,3.0,0.0
ESTP,SP,ESTP ENERGY,71gVoSLHPKIlPOyGbsjMwC,50,0.6495000000000001,0.1482799682343904,0.78298,0.1325921304649129,-4.89676,1.5877509900896338,0.52,0.5046720495044484,0.080402,0.0642441881433961,0.06119142,0.1012915811041327,0.219122,0.1453402331898276,0.62316,0.1966882294186328,126.95542,30.146326351538583,0.0101020819999999,0.0481714601640505,2.0,1.0,4.0,0.0,5.0,0.0,4.0,1.0,3.0,3.0,2.0,2.0,0.0,3.0,4.0,1.0,6.0,2.0,1.0,0.0,2.0,1.0,3.0,0.0
ESTP,SP,ESTP 8w7,2IIkwG5uOYgCNhq5ZiO2sb,50,0.6811200000000001,0.1665815532330966,0.7228,0.166195483619472,-6.102600000000001,2.669487568345472,0.52,0.5046720495044484,0.157686,0.132951654570604,0.1123578079999999,0.1526679723677227,0.22067,0.1779148021855817,0.5914519999999999,0.2411821415529798,128.89162,31.2327365617931,0.109541507,0.2670190480726031,2.0,2.0,5.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,5.0,1.0,3.0,4.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0
ESTP,SP,This Is Esteman,37i9dQZF1DZ06evO2kr0HV,42,0.7014047619047619,0.0962844007637256,0.6495952380952381,0.1384709284490852,-7.033357142857144,1.8113800401422624,0.3809523809523809,0.4915074349923197,0.0528880952380952,0.035200694300116,0.308775,0.2584149415869095,0.1437761904761904,0.086167813609298,0.6805238095238095,0.2000547776320931,120.73857142857142,30.646534386605737,0.0006145576190476,0.0023044803002569,3.0,5.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,5.0,3.0,3.0,2.0
ESTP,SP,Estp 😋,5nkqr7vgFYYGnDRQlsDv0k,50,0.67548,0.1398527272030204,0.6871400000000001,0.1888490391604805,-6.401279999999999,2.792333769301885,0.52,0.5046720495044485,0.112244,0.1079194298104481,0.1395797879999999,0.1948089394073448,0.221044,0.1591393487174183,0.5769660000000001,0.2056726263472401,121.83096000000002,30.42031108064586,0.0079021436,0.0294856345569265,3.0,2.0,5.0,0.0,4.0,1.0,4.0,3.0,2.0,1.0,5.0,3.0,1.0,5.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0
ESTP,SP,estpañol,0miAIh29Aix3QU82J0QS7e,50,0.59112,0.1343154435176645,0.67336,0.1490738428170579,-5.75902,1.654973290246272,0.84,0.3703280399090204,0.0418579999999999,0.0235579882894295,0.340068,0.2248120988101587,0.2086019999999999,0.2090058074478764,0.5209560000000001,0.2466821777105108,118.63858,28.965749264478784,5.9254e-05,0.0002771352921132,6.0,0.0,6.0,1.0,2.0,5.0,1.0,1.0,0.0,4.0,2.0,6.0,0.0,1.0,0.0,5.0,0.0,3.0,2.0,1.0,1.0,1.0,2.0,0.0
ESTP,SP,estp with superiority issues ,41x9pjpmeiMz6vvTRjevoY,50,0.7555399999999999,0.1303626355007211,0.66298,0.1497388870190849,-6.253960000000001,2.5103797904390683,0.52,0.5046720495044485,0.1708859999999999,0.1360850304562765,0.1459779999999999,0.1687948188947584,0.1879659999999999,0.1579159549266892,0.543062,0.2103230371478646,127.43508,24.12798451103817,0.0083952322,0.0359843602943511,2.0,4.0,4.0,0.0,5.0,0.0,2.0,2.0,2.0,0.0,1.0,4.0,2.0,4.0,0.0,2.0,7.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0
ESTP,SP,This Is Estelle,37i9dQZF1DZ06evO3t9Iha,50,0.6217,0.1430919855426243,0.63212,0.1908945258513192,-6.9625,2.7690978362150034,0.5,0.5050762722761054,0.1390259999999999,0.1242085997384222,0.2195824,0.2333086697441737,0.224644,0.1857650679580781,0.4750980000000001,0.2099123300867507,113.30108,27.80320041836324,0.0267479338,0.0930287779904403,6.0,0.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,0.0,4.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,5.0,2.0,0.0
ESTP,SP,estp 7w3,0ddZJDBW7hkjXO6PYOwYTh,50,0.6135200000000001,0.1552501917577441,0.62938,0.1290584253075216,-7.3476,2.1198432556610003,0.58,0.4985693819032897,0.172486,0.1356141781312119,0.167916,0.1882115538972253,0.276586,0.2175301611834317,0.456104,0.2205782474519633,117.81086,32.04602024640598,0.0563671974,0.2005262661640848,5.0,1.0,5.0,1.0,3.0,0.0,4.0,1.0,1.0,1.0,2.0,4.0,3.0,3.0,0.0,2.0,0.0,2.0,1.0,3.0,3.0,5.0,0.0,0.0
