mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/BbMajor_count,Bminor_count,A#/Bbminor_count,BMajor_count
INFJ,NF,INFJ Playlist!!,2HTkX7Q03qo3jrPvfz1XCy,50,0.53026,0.1418930051058161,0.69014,0.1629067606118948,-6.733359999999999,2.594439373674681,0.52,0.5046720495044484,0.055892,0.0561456045856282,0.185469508,0.214289831210712,0.197954,0.1232348251369336,0.46668,0.1821336625130241,123.22546000000004,32.82354200017333,0.1950368405999999,0.3097121033535605,6.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,6.0,2.0,0.0,0.0,0.0
INFJ,NF,This Is Inf,37i9dQZF1DZ06evO3SeHZd,50,0.6653999999999998,0.1041560838161572,0.41108,0.1520283056351208,-10.79756,2.9257488708893327,0.26,0.443087497693452,0.088266,0.084354027062332,0.237461314,0.2531122872734937,0.189096,0.162794743634744,0.4345400000000001,0.1949954693351219,99.42746,28.48007585349478,0.662444266,0.2739336074174056,5.0,3.0,2.0,1.0,6.0,4.0,3.0,0.0,3.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,6.0,0.0,0.0,4.0,0.0,0.0
INFJ,NF,This Is INF1N1TE,37i9dQZF1DZ06evO2gEhGg,50,0.62752,0.0899866747505043,0.89672,0.0915126934431748,-3.39622,1.789910353358856,0.5,0.5050762722761054,0.187964,0.1370975948523011,0.014073806,0.0588668866190922,0.218584,0.1703808199898338,0.33932,0.209851836945469,134.09514,33.44215299131151,0.1243236625999999,0.226818795277732,0.0,2.0,2.0,10.0,0.0,5.0,0.0,0.0,4.0,1.0,5.0,0.0,7.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,5.0,1.0,0.0
INFJ,NF,Infj 😌,2J1Xdogu9HbBxJvrutXGNi,42,0.5836666666666668,0.1429365656108257,0.5728809523809525,0.1839892895054747,-7.942238095238094,2.847797264378411,0.7142857142857143,0.4572299568592126,0.0770357142857142,0.0937353144827747,0.2743629999999999,0.275511766245486,0.162547619047619,0.1041653451995156,0.4536880952380953,0.2207307444877968,118.35819047619049,26.387458012341355,0.0468778571428571,0.1572766917513914,1.0,8.0,2.0,2.0,0.0,4.0,0.0,1.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,2.0,4.0,1.0,2.0,0.0,0.0
INFJ,NF,infj women,1o0KTRvQ1vviGUk5A9osMT,16,0.4171875,0.1611662573245404,0.4975625,0.2499239801086189,-9.3136875,4.67482124747389,0.375,0.5,0.0403875,0.0146941201392484,0.405877625,0.4063461650427092,0.157525,0.0983052694416733,0.3086875,0.2370630629881706,119.9610625,31.12146295719135,0.26004915,0.3080608786982751,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
INFJ,NF,This Is I.N.F,37i9dQZF1DZ06evO2BZHgQ,50,0.63826,0.1296332046780532,0.7315599999999999,0.1611684579461338,-7.102160000000001,2.4275234071466536,0.48,0.5046720495044485,0.3071,0.1039980867170946,0.1229784,0.1561873503247602,0.247842,0.1911133856096523,0.58396,0.1799499885172181,108.17911999999998,36.1852193326028,3.07844e-05,8.869947771882225e-05,0.0,0.0,2.0,5.0,0.0,3.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,6.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,8.0,8.0,0.0
INFJ,NF,infj songs,39oj6TOAf9CPaPjQD9NmM5,50,0.52164,0.1218447925411166,0.55026,0.2215709965916393,-8.45342,3.723905811573298,0.56,0.5014265364224069,0.0501879999999999,0.0451190291544126,0.3899278400000001,0.3344566421315819,0.136134,0.074618240944374,0.365432,0.1975326647645386,110.48428,25.966032559857734,0.135575695,0.2867627129566918,3.0,5.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,5.0,2.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0
INFJ,NF,the infj villain,0boPB8t57SSS8l2Hl4Tnh1,50,0.5478600000000001,0.1272086523177169,0.7005800000000001,0.179955106646528,-5.97602,2.0061540369572826,0.5,0.5050762722761054,0.077266,0.0630310212255417,0.12547534,0.1895666325963049,0.1921439999999999,0.1662859648500812,0.4539399999999999,0.2024859188855827,119.26778,33.38755463494793,0.0176002656,0.0823816880657572,0.0,2.0,3.0,4.0,4.0,3.0,1.0,0.0,3.0,1.0,3.0,1.0,2.0,0.0,1.0,4.0,1.0,6.0,3.0,2.0,2.0,2.0,2.0,0.0
INFJ,NF,infj-t,1uYp2jw8kcuBA8ZRwqQ1pQ,50,0.53212,0.1646364752404273,0.43109,0.2098118615448087,-9.74064,3.6538428457207206,0.86,0.3505098327538655,0.062516,0.074257817179371,0.538498188,0.3543574919453284,0.166352,0.1073256464395787,0.383764,0.2335245315610682,114.40278,30.88004714975385,0.1060344479999999,0.2275734337556511,2.0,6.0,0.0,1.0,0.0,7.0,0.0,0.0,2.0,6.0,1.0,7.0,1.0,3.0,1.0,4.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,1.0
INFJ,NF,infj anthems,171amjDXELO7G60AFXxSoo,50,0.51266,0.1215793366573482,0.451044,0.2172900536431543,-9.10818,3.900537025768088,0.66,0.4785181206984066,0.0380799999999999,0.0126963436806484,0.4875832,0.3549811873223936,0.14528,0.0817795318935899,0.24735,0.1556606817958307,115.19374000000002,26.48410413722595,0.088722271,0.1951219827253688,1.0,4.0,2.0,2.0,0.0,4.0,0.0,1.0,3.0,4.0,3.0,2.0,2.0,0.0,1.0,4.0,1.0,2.0,1.0,4.0,4.0,1.0,2.0,2.0
INFJ,NF,INFJ (PDB),56neB7M8J9soAbHk2BZL8i,50,0.518552,0.1404848255877059,0.5780600000000001,0.2153476932302545,-7.432,3.928174967008034,0.56,0.5014265364224069,0.0568999999999999,0.0530374184430392,0.314371634,0.354076638325227,0.149354,0.0868913119115731,0.382552,0.1795660599720268,111.44706,27.77782078874865,0.0717968156,0.1802206331190657,4.0,5.0,1.0,6.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,0.0
