mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/GbMajor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,C#/DbMajor_count,F#/Gbminor_count,BMajor_count,D#_Ebminor_count,Dminor_count
INTJ,NT,Intj 🧐,1WzuaRUxekhPMBZEsszcSe,50,0.57836,0.140029990956748,0.6559800000000001,0.1718259073858758,-7.076460000000001,2.2598429348527924,0.42,0.4985693819032897,0.087814,0.0811623392356583,0.2207187599999999,0.2144714190186179,0.1944,0.1356151487534802,0.4808,0.212144925434843,123.46514,30.801975708571497,0.0308659554,0.1197831534260489,2.0,3.0,5.0,3.0,1.0,6.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
INTJ,NT,pov: you’re an intj ,6ocmyGGftkUZHJ0n9awpic,50,0.6159600000000001,0.1655062684551832,0.66486,0.156679447879277,-6.12872,1.6691418305860786,0.48,0.5046720495044484,0.088132,0.0879052607838085,0.1719245099999999,0.2096510623908623,0.161082,0.1375488702614604,0.502086,0.2432493807362547,116.27452,26.1802615866322,0.0270257124,0.0858202388355218,4.0,3.0,4.0,3.0,0.0,2.0,1.0,2.0,3.0,1.0,0.0,4.0,2.0,2.0,2.0,0.0,1.0,2.0,6.0,4.0,3.0,1.0,0.0,0.0
INTJ,NT,This Is Intjay,37i9dQZF1DZ06evO0zwTas,43,0.6712790697674419,0.096193090926382,0.167296976744186,0.1583043645659914,-14.608720930232558,3.371105232960601,0.5813953488372093,0.4991687442297913,0.0997023255813953,0.0708464418852227,0.5798511627906978,0.283984785283341,0.1114790697674418,0.0132020661827994,0.5576976744186046,0.2057853175015768,98.77767441860466,31.20951499121239,0.857023279767442,0.1918714358302327,0.0,2.0,2.0,3.0,0.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,0.0,5.0,2.0,1.0,3.0,3.0,0.0
INTJ,NT,INTJ,2waN9Y7YiQZJSoIjYVLUgE,50,0.6920999999999999,0.152337601720518,0.66356,0.1564856595111931,-6.542580000000002,2.794410624508744,0.54,0.5034574339058886,0.0863979999999999,0.0625685501294869,0.128614046,0.1603462003342782,0.206846,0.1532064782692738,0.5095200000000001,0.2148451022462082,122.10204,27.15705994573652,0.0798598528,0.2059573943770162,1.0,1.0,2.0,4.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,1.0,3.0,0.0,0.0
INTJ,NT,INTJ : The Mastermind,64k1pQgRBV2rHMurg4KIEH,50,0.50298,0.1470753645487335,0.631946,0.176177562575664,-6.79866,3.194492490176791,0.52,0.5046720495044485,0.045908,0.0258777490110239,0.2339165799999999,0.2589262426140074,0.1781039999999999,0.1170292723890837,0.45642,0.2393807563915952,120.81406,32.18800666201431,0.149675445,0.2706297104162427,2.0,1.0,4.0,4.0,2.0,3.0,2.0,3.0,4.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,0.0,0.0
INTJ,NT,INTJ villain,1CEMQ6JrdmiLc5QXEt7UUu,25,0.6407200000000001,0.1211852988883827,0.5783600000000001,0.1423929071267245,-7.199960000000001,2.6312417613489387,0.72,0.4582575694955839,0.12634,0.136774565130607,0.280016,0.2625498439661823,0.212464,0.1357036534757508,0.460996,0.2308432377177205,112.50332,29.76722416618654,0.056516064,0.1264776013205103,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,3.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0
INTJ,NT,INTJ women,67gWNkJ7D5wVXs09fU9kxR,50,0.61188,0.142355353010037,0.6500400000000001,0.1960465334182324,-7.2112,2.952498264182385,0.6,0.4948716593053935,0.059514,0.0525159295949761,0.20422294,0.2364698846467199,0.205196,0.1709198379477398,0.54858,0.2404135119636453,126.43995999999996,25.857017268803137,0.080604252,0.2030591201166865,3.0,5.0,3.0,4.0,0.0,0.0,3.0,1.0,6.0,3.0,1.0,3.0,0.0,2.0,2.0,3.0,1.0,1.0,4.0,0.0,3.0,0.0,1.0,1.0
INTJ,NT,INTJ songs,4acQIuCN9aeFBCpr9vubVd,50,0.53,0.1608579040834563,0.64078,0.20492141749202,-7.04848,3.4350208759131555,0.52,0.5046720495044485,0.090556,0.1028800394356734,0.26256628,0.3064952143369795,0.166388,0.1372704475531007,0.375046,0.2046651862263371,127.62784000000002,27.988529793004087,0.0954819903999999,0.2249649041245395,2.0,4.0,2.0,4.0,0.0,5.0,0.0,2.0,5.0,3.0,0.0,0.0,4.0,4.0,3.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0
INTJ,NT,intj girlies,3r7yxNLsluN3K7M2xxUcRl,50,0.5440200000000001,0.1306144802423513,0.506864,0.2067657510817692,-8.42154,3.633740880151147,0.56,0.5014265364224069,0.071416,0.0688016295488081,0.3888735799999999,0.3164505760507647,0.160838,0.0936698759975038,0.3997159999999999,0.2036407725102501,121.99473999999998,29.13497475950757,0.0338849633999999,0.0931063802620476,4.0,7.0,2.0,3.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,4.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0
INTJ,NT,INTJ WOMAN.,0NIbxDM2VBm0W1mq7azyN1,45,0.6440666666666667,0.1461833220184971,0.7200222222222223,0.175876827882068,-6.698666666666668,2.559401874373279,0.4444444444444444,0.5025189076296063,0.0800488888888888,0.0688654670757089,0.1439658466666666,0.2005909737914078,0.2000288888888888,0.1757494040106566,0.4232377777777777,0.2253859984851129,122.50337777777776,28.57765601932017,0.2098311686666666,0.3440682564100387,0.0,1.0,2.0,1.0,0.0,5.0,0.0,1.0,1.0,3.0,2.0,1.0,2.0,7.0,1.0,1.0,6.0,1.0,1.0,3.0,4.0,1.0,0.0,1.0
