mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,GMajor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,BMajor_count,Dminor_count,D#_Ebminor_count,D#_EbMajor_count,Gminor_count,G#/Abminor_count
INTP,NT,"INTP playlist (for intps, by an intp)",54YCS9D2dr1AisRScAx8gl,50,0.5856999999999999,0.1231221808959353,0.5464,0.1959503269000715,-8.07526,3.349413642318151,0.72,0.4535573676110727,0.061458,0.0451238481225588,0.31411022,0.2811795126314229,0.178204,0.1120293328206719,0.424752,0.2227843234876205,122.05726,25.858886383056724,0.0377845314,0.1316233813107773,1.0,4.0,1.0,3.0,5.0,5.0,2.0,1.0,7.0,3.0,2.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
INTP,NT,Intp 😎,7a1NapcyZ2e8Bmox6V0MSH,50,0.56314,0.1514303247876927,0.64688,0.2142757750075869,-7.82996,3.611143229911932,0.58,0.4985693819032897,0.0850219999999999,0.0845080392021724,0.208496358,0.2434540855185585,0.15803,0.1102227582152226,0.48855,0.2445474005636718,117.69496,30.001956204221084,0.0930639376,0.2421132109306931,1.0,4.0,1.0,1.0,6.0,1.0,3.0,1.0,2.0,5.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0
INTP,NT,intp songs,5EfNQZ8IDMbCgdbBYy8pXO,50,0.53598,0.1055035525081347,0.637996,0.1945207212717494,-8.443900000000001,3.2832745243187964,0.58,0.4985693819032897,0.045036,0.0345794604601385,0.2069403999999999,0.2525723452830811,0.172044,0.1098307179067785,0.3909,0.2337473719158164,130.26218,32.72222623825199,0.410150344,0.3795960051272228,3.0,5.0,0.0,4.0,2.0,3.0,0.0,2.0,3.0,0.0,2.0,3.0,4.0,4.0,4.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0
INTP,NT,pov: you’re an intp,7GkfEvfJTmsiQi8cR352Fx,50,0.6209399999999999,0.1250120663563876,0.64802,0.1835101609820923,-6.704860000000001,3.044992644406517,0.62,0.4903143514780145,0.092752,0.0789300393916495,0.20386442,0.2372080755856007,0.211902,0.1456136536124526,0.540372,0.2212007602673579,121.26564,30.235274652913983,0.0389358916,0.1238031952965713,1.0,7.0,0.0,1.0,6.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,6.0,4.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0
INTP,NT,intp/fyodor kinnie,5WVU9be3r7dV9G8HiXX6hF,50,0.54736,0.1332612533058768,0.646766,0.2111727579929933,-7.404120000000001,2.8698833058833166,0.5,0.5050762722761054,0.0641679999999999,0.060270656345576,0.21871828,0.2630763808693356,0.20247,0.1442051603282841,0.358688,0.1892518510302273,122.5529,28.78307906991359,0.122770039,0.2519343378676845,4.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,0.0,1.0,0.0,2.0,5.0,3.0,2.0,2.0,0.0,4.0,5.0,0.0,0.0,2.0,3.0,0.0
INTP,NT,chaotic intp,3phBu4WSDfIafADiZLYH9X,50,0.55744,0.115411802176522,0.6936400000000001,0.1671079035490884,-6.63086,2.4694187204147244,0.36,0.4848732213850611,0.0854,0.0724199487682215,0.14181992,0.2170951601925153,0.235784,0.1609324365270426,0.493736,0.2209860885454381,131.14996000000002,30.71601701031498,0.0575183822,0.1786054863873039,0.0,2.0,2.0,1.0,3.0,5.0,1.0,5.0,0.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,1.0,5.0,0.0,1.0,0.0,1.0,3.0,2.0
INTP,NT,an (accurate) intp playlist,3HtnLWV9cNxuk1m1ZzX0Ld,50,0.5888800000000001,0.1519881359494475,0.59836,0.1960914780277359,-8.45104,3.3785185496314925,0.72,0.4535573676110727,0.082498,0.0720260170964319,0.27993098,0.3009289112180435,0.179868,0.1210091267261292,0.4836200000000001,0.2402669340376172,119.81268,30.34026926577944,0.1131356936,0.2326460454438681,0.0,4.0,1.0,3.0,5.0,3.0,2.0,4.0,4.0,1.0,4.0,2.0,1.0,0.0,3.0,1.0,2.0,1.0,4.0,0.0,0.0,2.0,3.0,0.0
INTP,NT,INTP 4w5 5w4 5w6 with mentally ill,4scKgpaIvVdECAhcmnHmhu,50,0.5723199999999999,0.1375930764750812,0.578744,0.1986229205180057,-7.9702,4.1774905903727735,0.62,0.4903143514780145,0.068336,0.074711941399987,0.2957512,0.3293574830474433,0.174502,0.1680610074967311,0.461162,0.2035622904114389,121.31029999999998,28.424511605482408,0.1018591132,0.2271097612168587,0.0,5.0,1.0,6.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,0.0,1.0,5.0,0.0,1.0,5.0,1.0,2.0,0.0,2.0,1.0,2.0
INTP,NT,"intp, the nihilist",6jaiF5P1zAD2D7DqNkTVDO,50,0.58144,0.1302617709828629,0.6472180000000001,0.2182269850782129,-7.364259999999999,3.248175524374084,0.62,0.4903143514780145,0.05577,0.0476087251907222,0.19889637,0.2539968202550416,0.1692479999999999,0.1145365448141298,0.4131019999999999,0.2313819304764752,120.51866,24.67831719249652,0.1826834116,0.324487811796363,0.0,6.0,1.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0,1.0,3.0,0.0,5.0,5.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0
INTP,NT,INTP,13lqCIVUWYY6Ac3gq1WcNx,50,0.67568,0.1674856606716296,0.65902,0.1425657728623414,-5.736700000000001,2.3455365971503044,0.46,0.5034574339058886,0.121242,0.0867211719788642,0.23290244,0.2032941556939418,0.200422,0.1672272159399313,0.5532159999999999,0.2029669625876113,119.94858000000002,31.48986715229169,0.0094645392,0.0431309673931502,4.0,5.0,5.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,4.0,3.0,1.0,2.0,4.0,1.0,1.0,0.0,3.0,1.0,1.0,3.0,1.0
INTP,NT,INTP music taste i guess ( by an INTP-T),0HFpgzWoMgTC0vg9BsdgMB,50,0.56544,0.1280132582419269,0.6419000000000001,0.1809171926939087,-6.7755800000000015,2.562739112507457,0.58,0.4985693819032897,0.066552,0.0798162666659484,0.25281802,0.2620642633168741,0.170986,0.1104757892213566,0.5208200000000001,0.1969054149813549,128.74728000000002,29.6331118039484,0.070912805,0.1997874115565958,2.0,8.0,0.0,2.0,3.0,3.0,3.0,1.0,4.0,3.0,0.0,1.0,2.0,5.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0
