mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,CMajor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,EMajor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,GMajor_count,G#/AbMajor_count,Aminor_count,AMajor_count,BMajor_count,Cminor_count,C#/Dbminor_count,C#/DbMajor_count,Eminor_count,Fminor_count,Gminor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,Dminor_count,G#/Abminor_count
ISFJ,SJ,ISFJ 감성 플레이리스트💙,0ZRl0DyYmJure5ylPpV7A2,50,0.58312,0.136995402872371,0.48566,0.1447423622460661,-8.54982,2.7743729844299407,0.9,0.3030457633656632,0.06469,0.0482986468310892,0.4685,0.2850050840935713,0.1491099999999999,0.0946611211487739,0.3987220000000001,0.1933528943435303,109.27498,31.168943612807404,0.0205465958,0.1367125346802479,16.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISFJ,SJ,ISFJ,4iITWfutssZR45qQ2WDHnT,50,0.5247,0.159448187477299,0.5411,0.2599186874421165,-9.41688,6.035458481950393,0.64,0.4848732213850611,0.049626,0.024734160546887,0.4237190920000001,0.325141911157278,0.1727119999999999,0.0975922183247774,0.411386,0.2385261804909302,120.89124,34.85567782902544,0.1571906828,0.2916072705210334,1.0,5.0,0.0,0.0,5.0,2.0,2.0,1.0,2.0,5.0,1.0,7.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,0.0,0.0
ISFJ,SJ,ISFJ (PDB),3M27gPcsRaJMxhdAtKz6Xf,50,0.55196,0.1528070625571571,0.51586,0.2213005168893877,-8.020940000000001,3.3648359841763704,0.74,0.443087497693452,0.047872,0.0298069505659471,0.4092393999999999,0.3524803475975502,0.20671,0.1677664864613664,0.372836,0.2054585064221593,120.06365999999998,29.770747956032825,0.063386366,0.1958700198472435,5.0,4.0,0.0,0.0,3.0,2.0,2.0,1.0,6.0,2.0,1.0,8.0,2.0,0.0,1.0,2.0,0.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0
ISFJ,SJ,This Is IFGF Praise,37i9dQZF1DZ06evO1BWLRf,43,0.4637906976744186,0.1096204617108144,0.6539767441860466,0.1794003886458726,-6.639674418604651,2.1189763782243696,0.9069767441860463,0.2939025987321789,0.0336116279069767,0.0089704066187586,0.1740629279069767,0.2505316457816679,0.2096139534883721,0.1835283156840036,0.2152627906976744,0.1445309326312698,135.0556976744186,14.55138180074954,0.0431923737209302,0.1515711424327274,7.0,13.0,0.0,0.0,5.0,4.0,0.0,0.0,5.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ISFJ,SJ,ISFJ songs for your ISFJ characters,3DIoX6tZlw5dhBLHJrfHSh,20,0.5287,0.1424034668412993,0.59215,0.2154323132191347,-7.4236,3.540607357948336,0.85,0.3663475485325231,0.043815,0.0179387341864058,0.3117805,0.3062316385468772,0.16407,0.1011419955466466,0.44905,0.2664073799752235,139.76735000000002,27.79912825834084,0.095676924,0.2308236577827592,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
ISFJ,SJ,isfj // the protector ,3ZXgVNRlimnET5ceMz7XXQ,30,0.5348333333333334,0.1466788853322074,0.4301299999999999,0.2623727647635234,-10.827666666666666,6.30136996234143,0.8,0.4068381021724863,0.05658,0.0341576204452646,0.5049453333333334,0.3717916376026555,0.16128,0.1255545283381164,0.3384899999999999,0.2504335927532693,117.74646666666668,28.49863061650668,0.0613589176666666,0.2038730518994863,3.0,1.0,1.0,2.0,1.0,0.0,2.0,3.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0
ISFJ,SJ,This Is IHF,37i9dQZF1DZ06evO1MlkuQ,41,0.5918536585365853,0.0988770855597013,0.5970975609756097,0.1300447624624015,-8.678,2.035377164065668,0.3902439024390244,0.4938647983247947,0.0707560975609756,0.0711041983598032,0.2628970731707317,0.216827332885454,0.1836926829268292,0.1528765783078688,0.2256268292682927,0.1303089291345574,108.073243902439,13.997055916835668,0.4587399512195121,0.3520760509408408,5.0,7.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,9.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0
ISFJ,SJ,ISFJ,3tS5fVx5q0DaPbwAQ2DDTu,50,0.5805800000000001,0.1307850846516793,0.6914399999999999,0.1407490399430772,-6.766660000000001,2.306927938773528,0.54,0.5034574339058886,0.067934,0.0617193272080991,0.246791052,0.2756113788655466,0.1735259999999999,0.1067740888272897,0.489234,0.2222260924539396,119.24998,31.18388340904608,0.0995030494,0.2368819334601292,3.0,1.0,0.0,1.0,3.0,1.0,3.0,4.0,2.0,2.0,3.0,5.0,0.0,3.0,1.0,4.0,5.0,2.0,0.0,0.0,1.0,2.0,1.0,3.0
ISFJ,SJ,pov: ur an isfj,5O6UX2oYe51o2VBT804788,50,0.5537399999999999,0.1391850640004749,0.48214,0.1611621075127748,-8.853419999999998,2.7464639833496336,0.76,0.4314191105869001,0.053548,0.0507033760498957,0.43777746,0.3177265593648811,0.141956,0.1046358040723993,0.3467499999999999,0.192703122889663,119.18616,26.303188750089923,0.0213846239999999,0.0670700862831377,14.0,1.0,0.0,3.0,2.0,1.0,0.0,4.0,3.0,3.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0
ISFJ,SJ,This Is IAMJJ,37i9dQZF1DZ06evO3n6Dza,20,0.5933999999999999,0.1591961385408446,0.5523,0.1214673878692938,-9.5779,1.585899044374316,0.3,0.4701623459816271,0.06076,0.0307348661946005,0.140279,0.1373801538145349,0.21524,0.1821001962483407,0.38925,0.1537622481214697,115.3575,34.01341280405345,0.12467022,0.2557035455638867,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0
ISFJ,SJ,เทอคนนั้นต่อยกับกุเถอะถ้าจะมองขนาดนี้🤬🤬🤬,7rKbyQlqR201TWxB87BbjT,50,0.5782000000000002,0.1151736931414319,0.5603,0.1876290576251614,-8.0498,2.95861579603899,0.86,0.3505098327538655,0.043084,0.0247436684129619,0.41271906,0.3103947196158537,0.14414,0.093895445543847,0.46948,0.2320782098996027,130.41886,30.40336691277894,0.0530593322,0.1645229501767774,5.0,7.0,0.0,4.0,4.0,0.0,0.0,2.0,4.0,2.0,1.0,6.0,5.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0
ISFJ,SJ,This Is I.F.U,37i9dQZF1DZ06evO1ttURG,50,0.6968420000000002,0.1638433025541072,0.70286,0.1750102049502676,-8.22468,3.46671913615447,0.62,0.4903143514780146,0.057794,0.0337935473251377,0.12953841,0.1700136970163289,0.180468,0.1528522581863057,0.529544,0.1786705235445216,117.54104,11.251982381277156,0.191430821,0.2932315882508088,7.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,6.0,2.0,0.0,0.0,1.0,0.0,10.0,0.0,5.0,3.0,6.0,0.0,0.0,1.0,0.0
ISFJ,SJ,ISFJ <3,3gq1eVBJ8Z4uH1MfSj7QzF,50,0.53626,0.123099397369171,0.5316059999999999,0.2502464453946411,-9.49696,5.277771827936019,0.74,0.4430874976934521,0.048182,0.0250431602133075,0.3957976199999999,0.3527488810562614,0.2027579999999999,0.1559486952396164,0.407638,0.217699553204195,128.78370000000004,34.21009459582218,0.1104766364,0.2173198315360552,5.0,6.0,0.0,1.0,4.0,3.0,3.0,1.0,0.0,2.0,2.0,7.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0
ISFJ,SJ,isfj side,2e7NHmgo0xiYSUouEr9lx3,50,0.52414,0.1339667960689498,0.5232,0.1966419101217401,-7.615300000000001,2.514750535361717,0.86,0.3505098327538653,0.042182,0.0274765777062752,0.38873514,0.3267630233540977,0.133402,0.0766619866687526,0.333954,0.1845579022133372,119.90926,30.70198683247768,0.09769291,0.2330418355218334,4.0,7.0,0.0,0.0,4.0,7.0,2.0,2.0,7.0,3.0,1.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0
ISFJ,SJ,This Is IDSFA,37i9dQZF1DZ06evO0tL2rs,50,0.534176,0.2820412001745816,0.2861266,0.2452328037417939,-20.65162,7.272828155763431,0.8,0.4040610178208843,0.110494,0.1218132803490151,0.564522,0.383898261549083,0.124618,0.1440285752401733,0.582676,0.3229844392283837,101.96078,30.984061686345537,0.723493254,0.2644636441491538,9.0,8.0,1.0,4.0,3.0,3.0,0.0,0.0,5.0,1.0,0.0,1.0,2.0,2.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0
ISFJ,SJ,- ISFJ - ,7uXiarLC6kWDnwiV1n1JbH,50,0.64822,0.1376625999629943,0.71186,0.1411019330491403,-4.08006,1.532260933312307,0.88,0.328260722659316,0.063796,0.0534419271313282,0.22431092,0.1775968493833475,0.166958,0.1093169219493935,0.55398,0.1924577334992633,119.41972,27.383620337295483,4.2934e-05,0.0002656901303229,6.0,3.0,0.0,1.0,3.0,3.0,2.0,2.0,6.0,2.0,0.0,9.0,1.0,0.0,1.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
ISFJ,SJ,Infp but it's actual infp songs,72PVFthY1iGZy9a2MDJfKf,33,0.5876363636363636,0.1356442539747395,0.5562727272727273,0.1916419631642677,-8.215696969696971,3.3568674709918214,0.6363636363636364,0.4885042104591972,0.0742727272727272,0.083388227109434,0.3414339393939394,0.2670767565576817,0.1545424242424242,0.1124956722231544,0.4476030303030303,0.2160686819116326,131.87124242424244,33.21600808630372,0.0610408642424242,0.1775587266648985,5.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,1.0,2.0,4.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
ISFJ,SJ,"isfj ""( – ⌓ – )",2CahHgu58KSd2alhMen9ka,39,0.5650769230769231,0.1384586931781431,0.6175128205128205,0.212796650126343,-8.202769230769231,3.621297698932179,0.5897435897435898,0.4983102351129801,0.0459974358974359,0.0406683925321262,0.2637536289743589,0.3375517670826714,0.1828615384615384,0.1261770615056573,0.4884897435897437,0.2261754824011793,117.76710256410256,27.119202593457523,0.2571155446153846,0.3519579696966365,2.0,4.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,6.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0
ISFJ,SJ,ISFJ's home,2ZYf7xflrgrPf7nXgEJ7sq,19,0.5507894736842104,0.1343815376486618,0.4418421052631578,0.1796488127053244,-8.531526315789472,3.472462644682221,0.8947368421052632,0.3153017676423058,0.0677210526315789,0.0717099758978822,0.7035789473684212,0.244683313645635,0.1551,0.0943888117192804,0.3676842105263158,0.1665282934357398,110.81684210526316,29.304268091228167,0.0256385642105263,0.1095533099372356,4.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ISFJ,SJ,isfj,1iRXCbMRsrThwozf2OleP0,50,0.50952,0.1172807968344453,0.24407,0.1184576549675375,-12.82192,3.588357027489698,0.8,0.4040610178208844,0.050612,0.0282364335494381,0.82679,0.1952790805122614,0.14727,0.1065129545632638,0.276358,0.1380286824525679,114.6344,34.007731173235015,0.0766619546,0.1926198591966884,6.0,8.0,0.0,1.0,3.0,2.0,1.0,4.0,2.0,3.0,2.0,3.0,2.0,0.0,1.0,4.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0
ISFJ,SJ,isfj,1iRXCbMRsrThwozf2OleP0,50,0.50952,0.1172807968344453,0.24407,0.1184576549675375,-12.82192,3.588357027489698,0.8,0.4040610178208844,0.050612,0.0282364335494381,0.82679,0.1952790805122614,0.14727,0.1065129545632638,0.276358,0.1380286824525679,114.6344,34.007731173235015,0.0766619546,0.1926198591966884,6.0,8.0,0.0,1.0,3.0,2.0,1.0,4.0,2.0,3.0,2.0,3.0,2.0,0.0,1.0,4.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0
ISFJ,SJ,ISFJ-T,3epUOmDVnR1Hm15fgptrpQ,50,0.51156,0.1235171904089896,0.4434599999999999,0.1314799914940114,-8.45354,2.48286379425379,0.92,0.2740475156178696,0.038476,0.0163664734460794,0.5934159999999999,0.2296540782506221,0.149086,0.0850404201853808,0.30408,0.1438974748399224,126.34834,29.569536052353413,0.0044066394,0.0308237700530969,7.0,5.0,0.0,2.0,9.0,2.0,0.0,2.0,4.0,4.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0
ISFJ,SJ,ISFJ💐,7thmvbEDtORhEHImXRfwqE,21,0.5177619047619048,0.1298544973275491,0.4892380952380952,0.1927360642853083,-8.931809523809523,3.044931930586423,0.9523809523809524,0.2182178902359924,0.0450523809523809,0.0275661861534674,0.5307304761904762,0.3087018249132355,0.1823619047619048,0.1144021655222945,0.3999047619047619,0.1932909477347309,120.1047619047619,35.07671447114847,0.0863456733333333,0.2179648859280051,0.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ISFJ,SJ,ISFJ ; the protector's playlist,1IjBHShH11mv7ZPM8CRN9u,36,0.6051111111111112,0.1079173699186499,0.507,0.1961020142680845,-7.584388888888887,2.309700181876152,0.7777777777777778,0.421637021355784,0.0665472222222222,0.0675967940326467,0.4035302777777778,0.2984241460499383,0.1592638888888888,0.1141190685275134,0.4016055555555555,0.2109547032549804,117.40680555555552,30.69404825398979,0.0036100669444444,0.0211538965576997,1.0,2.0,0.0,0.0,2.0,2.0,2.0,5.0,3.0,2.0,0.0,6.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0
ISFJ,SJ,isfj,3K5gqpXyCQ7n4ucmIeb08x,50,0.6918599999999999,0.1390496916022969,0.54356,0.1769023897809299,-6.999380000000001,2.8299928022552154,0.54,0.5034574339058886,0.120122,0.0988785098502403,0.30153178,0.3097990453063173,0.154734,0.1043997197001476,0.4405519999999999,0.222018603044788,118.42246,29.25566262034601,0.0006073578,0.0036193249468804,3.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,3.0,3.0,0.0,2.0,0.0,5.0,5.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0
ISFJ,SJ,isfj,0aYyN7eEJMYzmhBCecMiaw,6,0.6875,0.0687248135683175,0.8143333333333332,0.1126351040602647,-3.8861666666666665,1.3090320724362208,0.8333333333333334,0.408248290463863,0.0807833333333333,0.0261655052820821,0.16305,0.0908634524987907,0.2163333333333333,0.1456539277419825,0.6781666666666667,0.1142408274946687,125.83683333333336,31.922679501675084,2.55e-07,6.246198844097104e-07,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
