mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,GMajor_count,G#/AbMajor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,BMajor_count,F#/GbMajor_count,Gminor_count,G#/Abminor_count,Aminor_count,Dminor_count
ISTJ,SJ,Istj 😌,7n03GjfjmqX9aVDgEML0Uu,46,0.5633913043478261,0.1600829615835863,0.4870521739130434,0.2317328430558013,-8.983978260869566,4.550645070215042,0.6521739130434783,0.4815434123430767,0.0817673913043478,0.0704659825080247,0.4229091304347827,0.3528831230612329,0.1576826086956521,0.1403791078225085,0.3504434782608694,0.2106340108151513,128.3426086956522,34.81741291140798,0.0587689639130434,0.1821329213765783,2.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
ISTJ,SJ,POV: you’re an istj ,2AxqeM4iZrKp93SHznEJpl,50,0.63074,0.138956726489705,0.6881800000000001,0.1693210559853676,-7.0192,3.4038066805221687,0.58,0.4985693819032898,0.0890739999999999,0.0910593948576242,0.1547273,0.1988182382913486,0.218076,0.1527636557375009,0.5162720000000001,0.2334723119011969,126.9971,31.122696017504,0.1810559498,0.306965826476444,3.0,4.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,2.0,6.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,0.0
ISTJ,SJ,This Is IST IST,37i9dQZF1DZ06evO3wl9ok,29,0.4497206896551724,0.1234561153357463,0.657755172413793,0.2476821603619775,-8.765172413793104,5.309713276284764,0.5862068965517241,0.5012300141587651,0.0394448275862068,0.0132848352376173,0.2149097365517241,0.28528790866774,0.166103448275862,0.130573387910944,0.2890448275862068,0.1864682634548358,125.05258620689656,26.6330098340886,0.4502172413793103,0.3217627576213851,1.0,3.0,0.0,1.0,3.0,0.0,1.0,2.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,1.0
ISTJ,SJ,ISTJ energy.,0wiM37pbpWhoNRGJSougUy,50,0.54702,0.16999717764764,0.5503399999999999,0.2331027390203202,-9.4898,5.860784557774928,0.56,0.5014265364224069,0.060368,0.0520131907916302,0.3196682319999999,0.334081615383655,0.182704,0.133359192669226,0.416902,0.2435299097332684,122.06369999999998,28.36490800357055,0.1813093188,0.3245759071716831,1.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,5.0,4.0,5.0,0.0,3.0,1.0,1.0,3.0,2.0,2.0,0.0,1.0,5.0,0.0
ISTJ,SJ,This Is IAMJJ,37i9dQZF1DZ06evO3n6Dza,20,0.5933999999999999,0.1591961385408446,0.5523,0.1214673878692938,-9.5779,1.585899044374316,0.3,0.4701623459816271,0.06076,0.0307348661946005,0.140279,0.1373801538145349,0.21524,0.1821001962483407,0.38925,0.1537622481214697,115.3575,34.01341280405345,0.12467022,0.2557035455638867,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,2.0,1.0
ISTJ,SJ,ISTJ songs,4qhJjuTNmmAwRoFAER1Wxr,50,0.52244,0.1570816971891911,0.55362,0.240320439991173,-8.684,4.00824349539388,0.8,0.4040610178208843,0.0527459999999999,0.0379844555209692,0.34194024,0.3221761466243215,0.13787,0.0729304176343899,0.4178900000000001,0.2633636782869201,120.54648000000002,36.50973854832349,0.0482518878,0.1751763493406,1.0,9.0,2.0,5.0,3.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,6.0,1.0,2.0,1.0,4.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0
ISTJ,SJ,istj 5w6,1sEZwkcsP4W1rgCvVQ3hFl,50,0.5642999999999999,0.1256651283761566,0.49496,0.1975666211583282,-9.04946,4.147099976206634,0.68,0.4712120714991612,0.0699299999999999,0.0699289442569953,0.385512822,0.3315284693427879,0.160834,0.0913703957995773,0.366208,0.2219258295292481,121.07372,30.43687703953873,0.0719117718,0.1975002139102706,1.0,4.0,4.0,1.0,3.0,0.0,2.0,5.0,4.0,0.0,8.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0
ISTJ,SJ,istj // the logistician ,00Ni0Ve2XMw43uPE6g73RN,26,0.5376538461538461,0.1426349024068632,0.6078461538461538,0.2026243208122247,-7.508384615384615,2.985350258538157,0.8461538461538461,0.3679464844031199,0.0692307692307692,0.0556820241674511,0.2448342692307692,0.2515506542044456,0.1853461538461538,0.1424741189992603,0.5020384615384615,0.2383824625712606,135.6893076923077,32.501272969247495,0.0111873684615384,0.0335490882006253,0.0,8.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
ISTJ,SJ,istj,4EpxqOOsU8y8CxKzn9AGVW,50,0.45036,0.146157415836767,0.5079,0.2521525493887882,-10.16168,3.841948487580813,0.66,0.4785181206984066,0.047934,0.0512042672408605,0.4176356599999999,0.3627690089871724,0.158594,0.1269710482989033,0.37792,0.2231320566253929,117.96339999999998,33.082589824713004,0.1430112374,0.2511809214223395,0.0,5.0,5.0,4.0,5.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,4.0,0.0
ISTJ,SJ,ISTJ playlist ᶠᵒʳ ʸᵒᵘ  ꨄ︎,5CqvuCVmeSDhHBQWceX7ty,50,0.56196,0.1696954005846705,0.57313,0.2507224453291661,-8.196660000000001,4.035303137640722,0.62,0.4903143514780144,0.065914,0.0641396117855416,0.302781846,0.3347780252169403,0.2029139999999999,0.1560715560770973,0.427926,0.2704029916284815,114.61918,29.414225174911685,0.1422160018,0.2903035215048751,1.0,4.0,2.0,3.0,4.0,0.0,3.0,3.0,2.0,1.0,1.0,0.0,4.0,2.0,4.0,5.0,2.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0
ISTJ,SJ,"Virgo, ISTJ, and Dowon",6UKCZ2kH7sCFzg4u5135cv,50,0.62896,0.1323642099724568,0.50304,0.1813508224859389,-7.57832,2.8599670359167804,0.7,0.4629100498862757,0.085226,0.0656719174288029,0.460976,0.2765570978872839,0.18969,0.1269102145259411,0.4665800000000001,0.2018220159508099,108.32282,30.4889695475098,0.0086307054,0.0485220016052516,1.0,5.0,2.0,1.0,6.0,1.0,3.0,2.0,2.0,0.0,3.0,3.0,4.0,4.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0
ISTJ,SJ,ISTJ,0Re9fC5x4DJAZWTCvOM0nj,36,0.508611111111111,0.1210674611889179,0.5044166666666666,0.2308245313776555,-9.086361111111112,3.984779148945775,0.5833333333333334,0.4999999999999999,0.0641638888888888,0.0648781369856607,0.4202604444444444,0.3400430650874717,0.1460638888888888,0.0833558572893617,0.2966083333333333,0.1775155854324587,118.07283333333332,31.12267716404138,0.1572363658333333,0.2801753604127244,2.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0,0.0,2.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0
ISTJ,SJ,ISTJ's values,0e73cAuDPlQ3X8kP2W67TC,17,0.6091176470588235,0.1083558272273237,0.5062352941176471,0.1607655627815565,-9.040176470588236,2.591934273744565,0.7058823529411765,0.4696682183138621,0.0836117647058823,0.0582627119428985,0.3981941176470588,0.2765189244667266,0.1732529411764706,0.1155106711393316,0.4447058823529412,0.1687556535000688,117.3405294117647,39.12136528822462,0.0222476570588235,0.0875762936961173,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
ISTJ,SJ,istj made by an istj,1YDlGxCwnHD18LIxUCdYRd,28,0.5585357142857142,0.1848902541635337,0.5592142857142857,0.2376378129817099,-9.526571428571428,4.450996529522361,0.6785714285714286,0.4755948656056708,0.0610714285714285,0.0336856696330106,0.2404157142857143,0.279694791757923,0.1665964285714286,0.1367920657276281,0.3928357142857143,0.2258248357799169,129.08246428571428,35.80404497165104,0.1540875346428571,0.2602532146744492,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0
ISTJ,SJ,Istj,76I2yauVptFj4H3CqtLQGD,50,0.5696599999999999,0.1211719321578109,0.5951580000000001,0.2235314615942216,-8.015059999999998,4.126836948609451,0.72,0.4535573676110727,0.083228,0.0898065836412126,0.284569,0.2774370786218095,0.181464,0.1379060857013547,0.48418,0.2051683917653785,124.77134,31.35268863815708,0.0368287984,0.1467598785354952,0.0,5.0,1.0,4.0,2.0,0.0,2.0,2.0,1.0,2.0,6.0,0.0,9.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,2.0,2.0
ISTJ,SJ,ISTJ,3RqSdOTz8Zz72dBEVT7JrO,50,0.61382,0.153967222856963,0.75714,0.1335942700103258,-5.1324000000000005,2.0237890811292463,0.54,0.5034574339058886,0.130164,0.1030595404687632,0.1017229279999999,0.1658507308346569,0.212236,0.1310395013820221,0.48856,0.2123004378666406,127.43038,33.55854342445483,0.0078477176,0.0300557623724826,2.0,1.0,4.0,7.0,7.0,1.0,2.0,5.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0
ISTJ,SJ,ISTJ,3Nn0M9rF3X5umZzMojv9CL,27,0.7034074074074075,0.1378107005054004,0.5975925925925927,0.128459289947396,-7.817814814814813,2.6357244229278285,0.7037037037037037,0.4653216269680751,0.1003407407407407,0.0735609546266498,0.2822525925925925,0.2184795722996791,0.1556222222222222,0.0855617650649262,0.4589814814814814,0.1960314182766807,112.77966666666669,23.320556837922403,9.365481481481482e-05,0.0003631141794402,1.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0
ISTJ,SJ,ISTJ ,3bHvNQPiyZ65kuvriBNGup,14,0.6192857142857144,0.1175214733710256,0.6738571428571429,0.1222738774182822,-5.106857142857144,1.9269768613493583,0.4285714285714285,0.5135525910130955,0.0474,0.0195585511497381,0.1386621428571428,0.1663609973788961,0.15,0.0947696235006847,0.4307857142857142,0.2168786185054561,114.12250000000002,22.94203627455673,0.0240761528571428,0.0562408993770239,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
